date,opening_cash,customer_receipts,other_inflows,supplier_payments,payroll,operating_expenses,debt_service,capex,fx_payments,closing_cash,ar_due,ap_due,currency_exposure,data_updated_at,is_actual
2024-12-26,1325.0,9.8,1.25,4.29,0.0,2.19,0.0,0.0,2.98,1326.59,10.58,4.07,3.43,2026-06-27,True
2024-12-27,1326.59,9.82,1.16,8.12,0.0,2.3,0.0,0.0,0.93,1326.22,10.6,9.26,1.07,2026-06-27,True
2024-12-28,1326.22,7.05,1.4,3.83,0.0,2.12,0.0,0.0,1.3,1327.42,7.62,3.64,1.49,2026-06-27,True
2024-12-29,1327.42,9.87,1.31,6.15,0.0,2.44,0.0,0.0,1.07,1328.95,10.66,5.84,1.23,2026-06-27,True
2024-12-30,1328.95,11.98,1.36,6.09,16.26,2.47,0.0,0.0,1.19,1316.28,12.94,5.79,1.36,2026-06-27,True
2024-12-31,1316.28,10.02,1.52,4.01,0.0,1.7,0.0,0.0,2.68,1319.43,10.82,3.81,3.08,2026-06-27,True
2025-01-01,1319.43,6.67,1.0,5.82,0.0,2.18,0.0,0.0,1.06,1318.04,7.2,5.53,1.22,2026-06-27,True
2025-01-02,1318.04,8.63,1.65,44.71,0.0,2.11,0.0,0.0,2.65,1278.84,9.32,42.48,3.05,2026-06-27,True
2025-01-03,1278.84,12.18,0.8,6.47,0.0,2.02,0.0,0.0,0.8,1282.54,13.16,7.38,0.92,2026-06-27,True
2025-01-04,1282.54,7.93,1.31,4.96,0.0,2.12,0.0,0.0,1.11,1283.58,8.56,4.72,1.28,2026-06-27,True
2025-01-05,1283.58,8.25,0.99,5.13,0.0,1.65,0.0,0.0,0.94,1285.09,8.91,4.87,1.09,2026-06-27,True
2025-01-06,1285.09,12.21,0.98,5.0,0.0,2.02,0.0,0.0,0.95,1290.31,13.19,4.75,1.09,2026-06-27,True
2025-01-07,1290.31,11.37,0.85,4.59,0.0,2.1,0.0,0.0,2.94,1292.91,12.28,4.36,3.38,2026-06-27,True
2025-01-08,1292.91,11.96,1.0,5.72,0.0,2.72,0.0,0.0,0.76,1296.68,12.92,5.44,0.87,2026-06-27,True
2025-01-09,1296.68,9.7,0.43,5.06,0.0,2.26,0.0,0.0,2.93,1296.55,10.47,4.81,3.37,2026-06-27,True
2025-01-10,1296.55,8.09,1.14,6.56,0.0,1.96,0.0,0.0,0.95,1296.32,8.74,7.48,1.09,2026-06-27,True
2025-01-11,1296.32,8.66,0.99,5.08,0.0,1.85,0.0,0.0,1.0,1298.03,9.35,4.83,1.15,2026-06-27,True
2025-01-12,1298.03,8.28,1.02,4.88,0.0,2.51,0.0,0.0,1.09,1298.85,8.95,4.64,1.25,2026-06-27,True
2025-01-13,1298.85,9.27,1.07,4.9,15.38,2.17,0.0,0.0,0.52,1286.22,10.01,4.65,0.6,2026-06-27,True
2025-01-14,1286.22,11.64,0.92,4.33,0.0,2.11,0.0,0.0,2.76,1289.58,12.57,4.11,3.17,2026-06-27,True
2025-01-15,1289.58,9.82,1.5,3.54,0.0,2.4,32.0,0.0,0.84,1262.12,10.61,3.36,0.96,2026-06-27,True
2025-01-16,1262.12,8.05,0.96,5.44,0.0,1.98,0.0,0.0,2.76,1260.94,8.69,5.17,3.18,2026-06-27,True
2025-01-17,1260.94,9.5,1.08,8.53,0.0,2.21,0.0,0.0,0.84,1259.93,10.26,9.72,0.97,2026-06-27,True
2025-01-18,1259.93,7.78,1.41,5.03,0.0,1.83,0.0,0.0,0.81,1261.44,8.4,4.78,0.94,2026-06-27,True
2025-01-19,1261.44,7.7,1.31,5.92,0.0,2.51,0.0,0.0,0.98,1261.05,8.31,5.62,1.13,2026-06-27,True
2025-01-20,1261.05,11.86,1.17,4.83,0.0,1.86,0.0,0.0,1.18,1266.21,12.81,4.59,1.36,2026-06-27,True
2025-01-21,1266.21,12.29,1.15,4.11,0.0,1.92,0.0,0.0,2.84,1270.76,13.27,3.9,3.27,2026-06-27,True
2025-01-22,1270.76,9.75,0.9,4.74,0.0,1.96,0.0,0.0,0.91,1273.81,10.53,4.51,1.05,2026-06-27,True
2025-01-23,1273.81,7.54,1.24,5.82,0.0,1.77,0.0,0.0,2.87,1272.12,8.14,5.53,3.3,2026-06-27,True
2025-01-24,1272.12,7.84,1.21,6.43,0.0,1.81,0.0,0.0,0.94,1271.99,8.47,7.33,1.08,2026-06-27,True
2025-01-25,1271.99,9.06,1.3,3.9,0.0,2.29,0.0,0.0,0.78,1275.39,9.78,3.7,0.9,2026-06-27,True
2025-01-26,1275.39,8.1,1.22,5.53,0.0,1.8,0.0,0.0,0.68,1276.7,8.75,5.26,0.78,2026-06-27,True
2025-01-27,1276.7,11.7,1.32,4.34,17.76,2.12,0.0,0.0,0.94,1264.55,12.64,4.13,1.08,2026-06-27,True
2025-01-28,1264.55,14.0,1.12,6.31,0.0,1.7,0.0,0.0,2.98,1268.68,15.11,5.99,3.43,2026-06-27,True
2025-01-29,1268.68,9.46,1.15,4.93,0.0,2.35,0.0,0.0,0.95,1271.06,10.22,4.68,1.09,2026-06-27,True
2025-01-30,1271.06,10.11,1.27,4.97,0.0,2.05,0.0,0.0,2.84,1272.58,10.92,4.72,3.27,2026-06-27,True
2025-01-31,1272.58,7.82,1.52,7.74,0.0,1.82,0.0,0.0,0.97,1271.38,8.44,8.83,1.12,2026-06-27,True
2025-02-01,1271.38,7.6,1.24,5.0,0.0,1.53,0.0,0.0,0.89,1272.8,8.21,4.75,1.03,2026-06-27,True
2025-02-02,1272.8,10.87,1.05,4.88,0.0,2.1,0.0,0.0,0.85,1276.88,11.74,4.64,0.98,2026-06-27,True
2025-02-03,1276.88,10.24,1.36,4.75,0.0,2.27,0.0,0.0,0.85,1280.61,11.06,4.51,0.97,2026-06-27,True
2025-02-04,1280.61,10.23,1.05,5.76,0.0,2.12,0.0,0.0,2.8,1281.21,11.05,5.47,3.22,2026-06-27,True
2025-02-05,1281.21,7.77,1.04,5.68,0.0,2.52,0.0,0.0,0.79,1281.04,8.39,5.39,0.91,2026-06-27,True
2025-02-06,1281.04,6.85,0.89,5.1,0.0,2.01,0.0,0.0,2.56,1279.12,7.4,4.84,2.94,2026-06-27,True
2025-02-07,1279.12,9.39,0.84,8.69,0.0,1.88,0.0,0.0,1.07,1277.71,10.14,9.91,1.23,2026-06-27,True
2025-02-08,1277.71,8.0,1.25,4.48,0.0,2.17,0.0,0.0,0.84,1279.46,8.64,4.26,0.96,2026-06-27,True
2025-02-09,1279.46,9.21,1.18,5.29,0.0,2.08,0.0,0.0,1.16,1281.32,9.95,5.02,1.34,2026-06-27,True
