date,opening_cash,customer_receipts,other_inflows,supplier_payments,payroll,operating_expenses,debt_service,capex,fx_payments,closing_cash,ar_due,ap_due,currency_exposure,data_updated_at,is_actual
2024-12-26,1715.0,9.82,1.05,5.19,0.0,2.63,0.0,0.0,3.04,1715.01,10.6,4.93,3.49,2026-06-27,True
2024-12-27,1715.01,6.8,0.82,11.03,0.0,2.38,0.0,0.0,0.91,1708.32,7.35,12.57,1.05,2026-06-27,True
2024-12-28,1708.32,8.43,0.91,8.18,0.0,2.6,0.0,0.0,0.58,1706.3,9.1,7.77,0.67,2026-06-27,True
2024-12-29,1706.3,8.3,1.18,6.63,0.0,2.6,0.0,0.0,0.92,1705.64,8.97,6.3,1.05,2026-06-27,True
2024-12-30,1705.64,12.47,1.1,5.14,15.9,2.42,0.0,0.0,0.77,1694.98,13.46,4.88,0.89,2026-06-27,True
2024-12-31,1694.98,12.62,1.0,6.8,0.0,2.38,0.0,0.0,2.69,1696.73,13.63,6.46,3.1,2026-06-27,True
2025-01-01,1696.73,8.93,0.61,6.69,0.0,2.02,0.0,0.0,0.84,1696.73,9.64,6.35,0.97,2026-06-27,True
2025-01-02,1696.73,8.44,0.89,27.8,0.0,2.15,0.0,0.0,2.62,1673.5,9.12,26.41,3.02,2026-06-27,True
2025-01-03,1673.5,9.11,1.34,8.94,0.0,2.57,0.0,0.0,1.08,1671.36,9.84,10.19,1.24,2026-06-27,True
2025-01-04,1671.36,9.33,1.17,6.58,0.0,2.4,0.0,0.0,0.97,1671.91,10.07,6.25,1.11,2026-06-27,True
2025-01-05,1671.91,8.86,0.87,6.12,0.0,2.55,0.0,0.0,0.9,1672.07,9.57,5.81,1.04,2026-06-27,True
2025-01-06,1672.07,11.19,1.42,5.21,0.0,2.38,0.0,0.0,0.82,1676.28,12.09,4.95,0.94,2026-06-27,True
2025-01-07,1676.28,12.97,1.43,7.03,0.0,2.37,0.0,0.0,2.78,1678.5,14.01,6.68,3.2,2026-06-27,True
2025-01-08,1678.5,8.48,0.7,5.06,0.0,2.18,0.0,0.0,1.03,1679.41,9.16,4.81,1.18,2026-06-27,True
2025-01-09,1679.41,10.64,0.6,6.86,0.0,1.86,0.0,0.0,2.89,1679.05,11.49,6.51,3.33,2026-06-27,True
2025-01-10,1679.05,7.54,1.02,9.06,0.0,2.39,0.0,0.0,1.12,1675.04,8.15,10.33,1.28,2026-06-27,True
2025-01-11,1675.04,8.98,0.94,6.7,0.0,2.4,0.0,0.0,0.8,1675.06,9.69,6.37,0.92,2026-06-27,True
2025-01-12,1675.06,8.27,0.82,7.36,0.0,2.4,0.0,0.0,0.84,1673.54,8.93,6.99,0.97,2026-06-27,True
2025-01-13,1673.54,12.69,0.68,5.84,15.87,2.35,0.0,0.0,0.93,1661.91,13.7,5.55,1.07,2026-06-27,True
2025-01-14,1661.91,11.22,0.99,6.85,0.0,2.0,0.0,0.0,2.48,1662.79,12.11,6.51,2.85,2026-06-27,True
2025-01-15,1662.79,6.62,1.02,7.26,0.0,2.53,32.0,0.0,1.17,1627.46,7.15,6.9,1.35,2026-06-27,True
2025-01-16,1627.46,8.83,1.47,5.36,0.0,2.73,0.0,0.0,2.8,1626.87,9.54,5.1,3.22,2026-06-27,True
2025-01-17,1626.87,7.52,1.03,10.71,0.0,1.8,0.0,0.0,1.23,1621.67,8.13,12.21,1.42,2026-06-27,True
2025-01-18,1621.67,10.07,1.23,5.38,0.0,2.57,0.0,0.0,0.8,1624.22,10.87,5.11,0.92,2026-06-27,True
2025-01-19,1624.22,8.09,0.93,6.44,0.0,2.17,0.0,0.0,0.66,1623.96,8.74,6.12,0.76,2026-06-27,True
2025-01-20,1623.96,11.13,1.26,6.78,0.0,2.31,0.0,0.0,0.89,1626.37,12.02,6.44,1.03,2026-06-27,True
2025-01-21,1626.37,10.89,1.06,4.97,0.0,2.21,0.0,0.0,2.98,1628.16,11.76,4.73,3.43,2026-06-27,True
2025-01-22,1628.16,8.97,1.48,6.86,0.0,1.75,0.0,0.0,0.87,1629.13,9.69,6.52,1.0,2026-06-27,True
2025-01-23,1629.13,9.21,1.24,5.42,0.0,2.22,0.0,0.0,2.93,1629.01,9.94,5.15,3.37,2026-06-27,True
2025-01-24,1629.01,8.62,1.04,11.19,0.0,2.52,0.0,0.0,0.88,1624.08,9.31,12.76,1.01,2026-06-27,True
2025-01-25,1624.08,8.0,1.23,5.94,0.0,2.64,0.0,0.0,0.61,1624.11,8.64,5.64,0.7,2026-06-27,True
2025-01-26,1624.11,6.78,0.77,4.88,0.0,2.58,0.0,0.0,0.99,1623.19,7.32,4.64,1.14,2026-06-27,True
2025-01-27,1623.19,10.4,1.36,6.62,15.55,2.51,0.0,0.0,1.21,1609.06,11.23,6.29,1.39,2026-06-27,True
2025-01-28,1609.06,12.11,1.59,6.59,0.0,2.49,0.0,0.0,2.7,1610.98,13.08,6.26,3.1,2026-06-27,True
2025-01-29,1610.98,9.35,1.19,6.91,0.0,2.05,0.0,0.0,1.15,1611.41,10.1,6.57,1.33,2026-06-27,True
2025-01-30,1611.41,8.09,0.92,5.31,0.0,2.2,0.0,0.0,2.84,1610.05,8.74,5.05,3.27,2026-06-27,True
2025-01-31,1610.05,8.87,0.9,8.74,0.0,2.6,0.0,0.0,0.87,1607.62,9.58,9.96,1.0,2026-06-27,True
2025-02-01,1607.62,7.2,1.5,6.05,0.0,2.09,0.0,0.0,1.0,1607.18,7.77,5.75,1.15,2026-06-27,True
2025-02-02,1607.18,10.11,1.3,5.08,0.0,2.32,0.0,0.0,1.19,1609.99,10.92,4.82,1.37,2026-06-27,True
2025-02-03,1609.99,10.8,1.37,7.39,0.0,2.6,0.0,0.0,1.1,1611.07,11.66,7.02,1.27,2026-06-27,True
2025-02-04,1611.07,11.44,0.98,5.5,0.0,2.44,0.0,0.0,2.77,1612.78,12.35,5.23,3.19,2026-06-27,True
2025-02-05,1612.78,9.94,1.03,5.66,0.0,2.52,0.0,0.0,0.64,1614.93,10.73,5.38,0.74,2026-06-27,True
2025-02-06,1614.93,9.3,1.14,5.97,0.0,2.15,0.0,0.0,2.67,1614.59,10.05,5.67,3.07,2026-06-27,True
2025-02-07,1614.59,8.83,1.06,9.98,0.0,2.35,0.0,0.0,0.7,1611.45,9.53,11.37,0.8,2026-06-27,True
2025-02-08,1611.45,11.07,1.36,5.95,0.0,2.37,0.0,0.0,0.72,1614.86,11.96,5.65,0.82,2026-06-27,True
2025-02-09,1614.86,7.43,1.24,7.4,0.0,1.94,0.0,0.0,0.75,1613.45,8.02,7.03,0.86,2026-06-27,True
2025-02-10,1613.45,12.02,1.62,5.43,16.32,2.22,0.0,0.0,0.84,1602.29,12.98,5.15,0.96,2026-06-27,True
2025-02-11,1602.29,10.92,1.25,8.39,0.0,2.47,0.0,0.0,2.37,1601.23,11.79,7.97,2.73,2026-06-27,True
2025-02-12,1601.23,8.42,1.23,4.44,0.0,2.56,0.0,0.0,0.8,1603.09,9.1,4.22,0.92,2026-06-27,True
2025-02-13,1603.09,7.05,1.22,5.04,0.0,2.63,0.0,0.0,2.69,1600.99,7.62,4.79,3.09,2026-06-27,True
2025-02-14,1600.99,8.71,1.3,8.45,0.0,2.44,0.0,0.0,0.68,1599.44,9.4,9.63,0.78,2026-06-27,True
2025-02-15,1599.44,8.92,0.97,6.57,0.0,2.43,32.0,0.0,1.01,1567.34,9.64,6.24,1.16,2026-06-27,True
2025-02-16,1567.34,7.38,1.01,7.97,0.0,2.37,0.0,0.0,0.84,1564.55,7.97,7.57,0.96,2026-06-27,True
2025-02-17,1564.55,10.41,0.69,5.07,0.0,2.18,0.0,0.0,1.2,1567.2,11.24,4.81,1.38,2026-06-27,True
2025-02-18,1567.2,9.56,1.38,7.06,0.0,2.32,0.0,0.0,2.72,1566.02,10.32,6.71,3.13,2026-06-27,True
2025-02-19,1566.02,10.23,1.29,6.14,0.0,2.54,0.0,0.0,0.79,1568.08,11.05,5.83,0.91,2026-06-27,True
2025-02-20,1568.08,7.34,1.21,7.46,0.0,2.22,0.0,0.0,2.86,1564.08,7.92,7.09,3.29,2026-06-27,True
2025-02-21,1564.08,8.59,1.34,9.28,0.0,2.36,0.0,0.0,0.67,1561.69,9.27,10.58,0.77,2026-06-27,True
2025-02-22,1561.69,8.93,1.36,5.95,0.0,2.08,0.0,0.0,0.99,1562.96,9.64,5.65,1.14,2026-06-27,True
2025-02-23,1562.96,9.58,1.23,6.65,0.0,1.91,0.0,0.0,0.74,1564.48,10.34,6.32,0.85,2026-06-27,True
2025-02-24,1564.48,9.26,1.26,6.51,16.93,2.38,0.0,0.0,0.83,1548.35,10.0,6.19,0.95,2026-06-27,True
2025-02-25,1548.35,13.04,0.98,5.54,0.0,2.65,0.0,0.0,2.84,1551.33,14.08,5.26,3.27,2026-06-27,True
2025-02-26,1551.33,8.82,1.13,7.19,0.0,2.68,0.0,0.0,1.05,1550.36,9.52,6.83,1.21,2026-06-27,True
2025-02-27,1550.36,9.32,0.86,5.62,0.0,2.12,0.0,0.0,2.98,1549.83,10.06,5.34,3.42,2026-06-27,True
2025-02-28,1549.83,10.23,1.41,9.93,0.0,2.13,0.0,0.0,0.73,1548.69,11.05,11.32,0.84,2026-06-27,True
2025-03-01,1548.69,7.45,0.94,5.76,0.0,2.47,0.0,0.0,0.98,1547.87,8.04,5.47,1.13,2026-06-27,True
2025-03-02,1547.87,9.18,0.98,7.06,0.0,2.03,0.0,0.0,0.79,1548.14,9.92,6.71,0.91,2026-06-27,True
2025-03-03,1548.14,11.04,0.79,5.77,0.0,2.47,0.0,0.0,0.87,1550.86,11.92,5.48,1.0,2026-06-27,True
2025-03-04,1550.86,11.36,1.36,5.39,0.0,2.72,0.0,0.0,2.7,1552.76,12.27,5.12,3.1,2026-06-27,True
2025-03-05,1552.76,9.43,0.98,8.02,0.0,2.03,0.0,0.0,0.81,1552.31,10.18,7.62,0.93,2026-06-27,True
2025-03-06,1552.31,8.63,1.5,7.07,0.0,1.96,0.0,0.0,2.71,1550.7,9.32,6.72,3.11,2026-06-27,True
2025-03-07,1550.7,9.17,1.34,9.04,0.0,2.39,0.0,0.0,1.0,1548.78,9.9,10.3,1.15,2026-06-27,True
2025-03-08,1548.78,8.19,1.16,6.23,0.0,2.34,0.0,0.0,0.84,1548.73,8.85,5.92,0.97,2026-06-27,True
2025-03-09,1548.73,10.25,0.95,7.07,0.0,2.71,0.0,0.0,0.98,1549.17,11.07,6.72,1.13,2026-06-27,True
2025-03-10,1549.17,12.91,1.42,6.4,16.01,2.14,0.0,0.0,1.1,1537.85,13.95,6.08,1.27,2026-06-27,True
2025-03-11,1537.85,10.54,0.9,6.73,0.0,2.31,0.0,0.0,3.03,1537.21,11.38,6.4,3.48,2026-06-27,True
2025-03-12,1537.21,9.93,1.11,6.59,0.0,2.45,0.0,0.0,1.01,1538.2,10.72,6.26,1.17,2026-06-27,True
2025-03-13,1538.2,8.88,1.18,6.18,0.0,2.12,0.0,0.0,2.93,1537.03,9.59,5.87,3.37,2026-06-27,True
