date,opening_cash,customer_receipts,other_inflows,supplier_payments,payroll,operating_expenses,debt_service,capex,fx_payments,closing_cash,ar_due,ap_due,currency_exposure,data_updated_at,is_actual
2024-12-26,740.0,9.29,1.05,5.73,0.0,2.06,0.0,0.0,3.22,739.33,10.03,5.44,5.47,2026-06-27,True
2024-12-27,739.33,9.2,1.12,7.5,0.0,1.88,0.0,0.0,1.12,739.15,9.94,8.54,1.9,2026-06-27,True
2024-12-28,739.15,9.42,0.78,3.96,0.0,1.91,0.0,0.0,1.2,742.28,10.17,3.76,2.04,2026-06-27,True
2024-12-29,742.28,12.3,1.33,5.73,0.0,2.49,0.0,0.0,0.93,746.77,13.29,5.45,1.58,2026-06-27,True
2024-12-30,746.77,11.78,0.98,5.67,15.9,2.1,0.0,0.0,0.74,735.12,12.72,5.38,1.26,2026-06-27,True
2024-12-31,735.12,12.59,1.66,7.03,0.0,2.29,0.0,0.0,3.47,736.58,13.6,6.68,5.9,2026-06-27,True
2025-01-01,736.58,8.84,1.29,5.21,0.0,2.24,0.0,0.0,0.76,738.5,9.55,4.95,1.3,2026-06-27,True
2025-01-02,738.5,11.04,0.82,4.77,0.0,2.17,0.0,0.0,2.97,740.46,11.93,4.53,5.05,2026-06-27,True
2025-01-03,740.46,9.42,1.25,8.1,0.0,2.29,0.0,0.0,1.21,739.53,10.18,9.23,2.06,2026-06-27,True
2025-01-04,739.53,12.26,1.31,6.37,0.0,2.12,0.0,0.0,0.75,743.87,13.24,6.05,1.27,2026-06-27,True
2025-01-05,743.87,11.01,1.06,4.97,0.0,2.06,0.0,0.0,0.97,747.94,11.89,4.72,1.65,2026-06-27,True
2025-01-06,747.94,12.59,1.02,5.84,0.0,1.9,0.0,0.0,1.39,752.42,13.6,5.55,2.37,2026-06-27,True
2025-01-07,752.42,12.9,0.85,6.17,0.0,1.81,0.0,0.0,3.14,755.04,13.93,5.86,5.34,2026-06-27,True
2025-01-08,755.04,11.55,1.19,6.85,0.0,2.18,0.0,0.0,1.19,757.56,12.47,6.51,2.03,2026-06-27,True
2025-01-09,757.56,12.14,1.87,6.86,0.0,2.03,0.0,0.0,3.42,759.26,13.11,6.52,5.81,2026-06-27,True
2025-01-10,759.26,12.63,0.82,7.63,0.0,1.93,0.0,0.0,1.05,762.1,13.64,8.69,1.79,2026-06-27,True
2025-01-11,762.1,9.31,1.12,6.14,0.0,2.62,0.0,0.0,1.29,762.49,10.06,5.83,2.2,2026-06-27,True
2025-01-12,762.49,9.57,0.81,5.22,0.0,1.86,0.0,0.0,1.1,764.69,10.33,4.96,1.87,2026-06-27,True
2025-01-13,764.69,12.28,1.67,5.27,16.81,2.13,0.0,0.0,1.13,753.31,13.27,5.0,1.92,2026-06-27,True
2025-01-14,753.31,12.96,1.04,6.0,0.0,2.24,0.0,0.0,3.07,755.99,13.99,5.7,5.22,2026-06-27,True
2025-01-15,755.99,10.57,0.98,7.05,0.0,2.54,32.0,0.0,1.31,724.63,11.41,6.7,2.23,2026-06-27,True
2025-01-16,724.63,10.21,1.22,5.81,0.0,2.21,0.0,0.0,3.22,724.83,11.03,5.52,5.48,2026-06-27,True
2025-01-17,724.83,9.56,1.01,9.01,0.0,2.32,0.0,0.0,1.2,722.88,10.32,10.27,2.04,2026-06-27,True
2025-01-18,722.88,9.98,1.18,5.52,0.0,2.38,0.0,0.0,0.99,725.15,10.78,5.24,1.68,2026-06-27,True
2025-01-19,725.15,9.31,1.33,5.35,0.0,2.37,0.0,0.0,0.97,727.1,10.06,5.09,1.64,2026-06-27,True
2025-01-20,727.1,13.64,1.23,5.18,0.0,2.4,0.0,0.0,0.86,733.51,14.73,4.93,1.46,2026-06-27,True
2025-01-21,733.51,11.25,0.6,5.57,0.0,1.93,0.0,0.0,3.54,734.31,12.15,5.3,6.02,2026-06-27,True
2025-01-22,734.31,9.61,1.03,6.06,0.0,2.33,0.0,0.0,1.07,735.5,10.37,5.75,1.82,2026-06-27,True
2025-01-23,735.5,8.3,0.83,5.84,0.0,2.26,0.0,0.0,3.52,733.0,8.96,5.55,5.98,2026-06-27,True
2025-01-24,733.0,10.39,1.51,10.12,0.0,2.91,0.0,0.0,0.98,730.9,11.22,11.53,1.67,2026-06-27,True
2025-01-25,730.9,9.61,1.28,4.87,0.0,2.1,0.0,0.0,1.0,733.81,10.38,4.63,1.7,2026-06-27,True
